15-01-2023 10:14:03 | DEBUG     | The log file will be saved in <C:\TradingView-Free-Webhook-Alerts-main\logs>.
15-01-2023 10:14:03 | INFO      | Start port test...
15-01-2023 10:14:04 | INFO      | Testing port 5000
15-01-2023 10:14:05 | INFO      | Port 5000 is free~
15-01-2023 10:14:05 | OK        | API server is ready to use, port: 5000
15-01-2023 10:14:05 | INFO      | Your API key: hjqRE20feAx44WqXLaJT-A
15-01-2023 10:14:05 | INFO      | Please add 'X-API-KEY' and the API key to the header as the header name and header value of your request.
15-01-2023 10:14:05 | INFO      | Setting up ngrok...
15-01-2023 10:14:07 | INFO      | Your ngrok URL: http://fca1-178-142-139-153.ngrok.io
15-01-2023 10:15:33 | ERROR     | Received data is not valid, data: {'from': 'noreply@tradingview.com', 'subject': 'TradingView verification code', 'content': '550455 is your TradingView account verification code\n', 'receive_datatime': '2023-01-15T09:15:31.604Z'}
15-01-2023 10:21:57 | ERROR     | Received data is not valid, data: {'from': 'noreply@tradingview.com', 'subject': 'Alert: BTCUSDT Crossing 20623.97', 'content': 'BTCUSDT Crossing 20623.97\n', 'receive_datatime': '2023-01-15T09:21:52.941Z'}
15-01-2023 17:13:05 | DEBUG     | The log file will be saved in <C:\TradingView-Free-Webhook-Alerts-main\logs>.
15-01-2023 17:13:05 | INFO      | Start port test...
15-01-2023 17:13:05 | INFO      | Testing port 5000
15-01-2023 17:13:06 | INFO      | Port 5000 is free~
15-01-2023 17:13:06 | OK        | API server is ready to use, port: 5000
15-01-2023 17:13:06 | INFO      | Your API key: dWDyTVYKFBg4QS0dl1S2vg
15-01-2023 17:13:06 | INFO      | Please add 'X-API-KEY' and the API key to the header as the header name and header value of your request.
15-01-2023 17:13:06 | INFO      | Setting up ngrok...
15-01-2023 17:13:09 | INFO      | Your ngrok URL: http://7749-178-142-139-153.ngrok.io
15-01-2023 17:16:08 | DEBUG     | The log file will be saved in <C:\TradingView-Free-Webhook-Alerts-main\logs>.
15-01-2023 17:16:08 | INFO      | Start port test...
15-01-2023 17:16:08 | INFO      | Testing port 5000
15-01-2023 17:16:09 | INFO      | Port 5000 is free~
15-01-2023 17:16:09 | OK        | API server is ready to use, port: 5000
15-01-2023 17:16:09 | INFO      | Your API key: htKjSb3OJ2WLHEZz9q5TWw
15-01-2023 17:16:09 | INFO      | Please add 'X-API-KEY' and the API key to the header as the header name and header value of your request.
15-01-2023 17:16:09 | INFO      | Setting up ngrok...
15-01-2023 17:16:10 | INFO      | Your ngrok URL: http://131a-178-142-139-153.ngrok.io
15-01-2023 17:30:33 | ERROR     | Received data is not valid, data: {'from': 'noreply@tradingview.com', 'subject': 'TradingView verification code', 'content': '550455 is your TradingView account verification code\n', 'receive_datatime': '2023-01-15T16:18:02.111Z'}
15-01-2023 17:30:33 | ERROR     | Received data is not valid, data: {'from': 'noreply@tradingview.com', 'subject': 'TradingView verification code', 'content': '550455 is your TradingView account verification code\n', 'receive_datatime': '2023-01-15T16:24:17.566Z'}
15-01-2023 17:30:33 | ERROR     | Received data is not valid, data: {'from': 'noreply@tradingview.com', 'subject': 'TradingView verification code', 'content': '550455 is your TradingView account verification code\n', 'receive_datatime': '2023-01-15T16:18:41.946Z'}
